flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P991449,/share-house-sydney-brighton-le-sands-2216-P991449,Brighton-Le-Sands,Sydney,450,False,2,Flatshare,2,2,2,21-01-2023
P1294969,/share-house-sydney-fairlight-2094-P1294969,Fairlight,Sydney,300,False,1,Flatshare,3,1,3,21-01-2023
P1295127,/share-house-sydney-lakemba-2195-P1295127,Lakemba,Sydney,250,True,1,Flatshare,2,1,1,21-01-2023
P1295134,/share-house-sydney-mount-colah-2079-P1295134,Mount Colah,Sydney,300,True,1,Flatshare,2,2,2,21-01-2023
P1294944,/student-accommodation-sydney-telopea-2117-P1294944,Telopea,Sydney,250,False,1,Student Accommodation,2,1,1,21-01-2023
P1295082,/share-house-sydney-neutral-bay-2089-P1295082,Neutral Bay,Sydney,350,False,1,Flatshare,2,1,2,21-01-2023
P1294435,/share-house-sydney-pendle-hill-2145-P1294435,Pendle Hill,Sydney,325,False,2,Share House,4,2,3,21-01-2023
P1294913,/share-house-sydney-marrickville-2204-P1294913,Marrickville,Sydney,400,True,1,Flatshare,2,1,1,21-01-2023
P1142539,/share-house-sydney-rosehill-2142-P1142539,Rosehill,Sydney,300,False,1,Flatshare,2,2,3,21-01-2023
P1292718,/share-house-sydney-drummoyne-2047-P1292718,Drummoyne,Sydney,260,False,1,Flatshare,3,1,3,21-01-2023
P1207287,/share-house-sydney-campbelltown-2560-P1207287,Campbelltown,Sydney,220,False,1,Share House,3,1,1,21-01-2023
P1295128,/share-house-sydney-maroubra-2035-P1295128,Maroubra,Sydney,300,True,1,Flatshare,2,1,2,21-01-2023
P1196808,/share-house-sydney-mount-druitt-2770-P1196808,Mount Druitt,Sydney,240,True,1,Share House,4,2,2,21-01-2023
P1281623,/share-house-sydney-newtown-2042-P1281623,Newtown,Sydney,500,True,2,Share House,3,2,2,21-01-2023
P1288920,/share-house-sydney-marrickville-2204-P1288920,Marrickville,Sydney,230,False,1,Share House,4,2,3,21-01-2023
P631723,/share-house-sydney-wentworthville-2145-P631723,Wentworthville,Sydney,250,True,1,Flatshare,2,2,1,21-01-2023
