flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1291550,/homestay-sydney-balgowlah-heights-2093-P1291550,Balgowlah Heights,Sydney,350,True,2,Homestay,3,1,2,11-02-2023
P1075760,/share-house-sydney-burwood-2134-P1075760,Burwood,Sydney,280,True,1,Share House,5,1,6,11-02-2023
P798916,/student-accommodation-sydney-sutherland-2232-P798916,Sutherland,Sydney,200,True,1,Student Accommodation,1,1,1,11-02-2023
P1306579,/share-house-sydney-macquarie-park-2113-P1306579,Macquarie Park,Sydney,350,False,1,Flatshare,2,1,2,11-02-2023
P687325,/share-house-sydney-maroubra-2035-P687325,Maroubra,Sydney,220,True,1,Share House,5,3,4,11-02-2023
P1242617,/share-house-sydney-parramatta-2150-P1242617,Parramatta,Sydney,400,True,1,Share House,2,1,2,11-02-2023
P1103312,/share-house-sydney-enmore-2042-P1103312,Enmore,Sydney,335,True,1,Share House,6,2,7,11-02-2023
P1267392,/share-house-sydney-toongabbie-2146-P1267392,Toongabbie,Sydney,275,False,1,Flatshare,2,2,2,11-02-2023
P1032196,/share-house-sydney-lidcombe-2141-P1032196,Lidcombe,Sydney,360,False,1,Flatshare,2,2,2,11-02-2023
P1305902,/share-house-sydney-petersham-2049-P1305902,Petersham,Sydney,500,True,1,Share House,3,2,3,11-02-2023
P1306725,/share-house-sydney-cremorne-2090-P1306725,Cremorne,Sydney,395,False,1,Flatshare,2,1,2,11-02-2023
P517550,/share-house-sydney-marsfield-2122-P517550,Marsfield,Sydney,230,True,1,Share House,5,2,5,11-02-2023
P1306837,/whole-property-sydney-bondi-junction-2022-P1306837,Bondi Junction,Sydney,2500,False,4,Whole Property for rent,4,4,0,11-02-2023
P1306840,/share-house-sydney-spring-farm-2570-P1306840,Spring Farm,Sydney,275,True,1,Share House,4,2,1,11-02-2023
P1281581,/share-house-sydney-leichhardt-2040-P1281581,Leichhardt,Sydney,300,True,1,Share House,2,2,3,11-02-2023
P1306831,/student-accommodation-sydney-padstow-2211-P1306831,Padstow,Sydney,300,True,1,Student Accommodation,3,1,2,11-02-2023
P1164742,/share-house-sydney-2000-P1164742,Sydney,Sydney,375,False,1,Flatshare,2,2,3,11-02-2023
P1306815,/share-house-sydney-wentworthville-2145-P1306815,Wentworthville,Sydney,300,True,2,Flatshare,2,1,2,11-02-2023
P1306816,/share-house-sydney-kirrawee-2232-P1306816,Kirrawee,Sydney,325,False,1,Flatshare,2,2,1,11-02-2023
P1151953,/share-house-sydney-wentworth-point-2127-P1151953,Wentworth Point,Sydney,390,True,1,Flatshare,2,1,1,11-02-2023
P986163,/share-house-sydney-frenchs-forest-2086-P986163,Frenchs Forest,Sydney,300,False,1,Share House,4,2,3,11-02-2023
P1031910,/share-house-sydney-chatswood-2067-P1031910,Chatswood,Sydney,360,False,1,Share House,4,2,3,11-02-2023
