flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1312458,/share-house-sydney-melrose-park-2114-P1312458,Melrose Park,Sydney,295,False,2,Share House,3,3,3,11-03-2023
P1317617,/studio-sydney-homebush-2140-P1317617,Homebush,Sydney,300,True,1,Studio for rent,1,1,0,11-03-2023
P1316337,/share-house-sydney-surry-hills-2010-P1316337,Surry Hills,Sydney,450,False,1,Share House,3,2,3,11-03-2023
P1000148,/share-house-sydney-frenchs-forest-2086-P1000148,Frenchs Forest,Sydney,395,True,2,Share House,6,4,7,11-03-2023
P1045771,/studio-sydney-redfern-2016-P1045771,Redfern,Sydney,465,True,1,Studio for rent,1,1,0,11-03-2023
P1315089,/share-house-sydney-randwick-2031-P1315089,Randwick,Sydney,400,False,1,Flatshare,2,1,1,11-03-2023
P1035940,/share-house-sydney-redfern-2016-P1035940,Redfern,Sydney,360,True,1,Share House,6,2,6,11-03-2023
P1038370,/share-house-sydney-redfern-2016-P1038370,Redfern,Sydney,400,True,1,Share House,6,4,7,11-03-2023
P1231444,/share-house-sydney-paddington-2021-P1231444,Paddington,Sydney,370,True,1,Flatshare,6,4,3,11-03-2023
P1322535,/share-house-sydney-coogee-2034-P1322535,Coogee,Sydney,350,False,1,Flatshare,2,1,2,11-03-2023
P1318671,/share-house-sydney-the-ponds-2769-P1318671,The Ponds,Sydney,325,True,2,Share House,5,3,3,11-03-2023
P1320186,/share-house-sydney-castle-hill-2154-P1320186,Castle Hill,Sydney,250,True,1,Share House,2,1,1,11-03-2023
P672782,/share-house-sydney-edmondson-park-2174-P672782,Edmondson Park,Sydney,240,True,1,Share House,5,3,4,11-03-2023
P850622,/share-house-sydney-castle-hill-2154-P850622,Castle Hill,Sydney,260,False,1,Share House,6,4,6,11-03-2023
P1316137,/share-house-sydney-mays-hill-2145-P1316137,Mays Hill,Sydney,280,False,1,Flatshare,2,2,2,11-03-2023
P1322348,/share-house-sydney-cherrybrook-2126-P1322348,Cherrybrook,Sydney,220,True,1,Share House,3,2,1,11-03-2023
P1182463,/share-house-sydney-manly-2095-P1182463,Manly,Sydney,500,False,1,Flatshare,2,1,2,11-03-2023
P1322385,/share-house-sydney-bellevue-hill-2023-P1322385,Bellevue Hill,Sydney,340,False,1,Share House,3,1,3,11-03-2023
P1179133,/share-house-sydney-bondi-beach-2026-P1179133,Bondi Beach,Sydney,650,False,1,Share House,4,2,4,11-03-2023
P1263079,/share-house-sydney-randwick-2031-P1263079,Randwick,Sydney,450,True,1,Flatshare,2,1,1,11-03-2023
P1194877,/student-accommodation-sydney-bondi-2026-P1194877,Bondi,Sydney,370,True,1,Student Accommodation,5,4,6,11-03-2023
P1320723,/share-house-sydney-sylvania-waters-2224-P1320723,Sylvania Waters,Sydney,350,True,1,Flatshare,2,2,1,11-03-2023
P1159893,/share-house-sydney-greenacre-2190-P1159893,Greenacre,Sydney,300,True,1,Flatshare,3,1,2,11-03-2023
P1319295,/share-house-sydney-randwick-2031-P1319295,Randwick,Sydney,400,False,1,Flatshare,2,1,2,11-03-2023
