flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1208803,/share-house-sydney-newtown-2042-P1208803,Newtown,Sydney,367,False,2,Share House,3,2,3,02-07-2022
P1133110,/share-house-sydney-middle-cove-2068-P1133110,Middle Cove,Sydney,260,True,2,Share House,3,1,3,02-07-2022
P1207455,/share-house-sydney-coogee-2034-P1207455,Coogee,Sydney,280,True,1,Flatshare,3,1,3,02-07-2022
P1208800,/share-house-sydney-asquith-2077-P1208800,Asquith,Sydney,340,True,1,Flatshare,2,2,1,02-07-2022
P1160375,/share-house-sydney-surry-hills-2010-P1160375,Surry Hills,Sydney,217,True,2,Share House,6,4,5,02-07-2022
P1185929,/share-house-sydney-randwick-2031-P1185929,Randwick,Sydney,272,True,3,Share House,6,4,6,02-07-2022
P1092102,/studio-sydney-paddington-2021-P1092102,Paddington,Sydney,320,True,1,Studio for rent,1,1,0,02-07-2022
P1009119,/share-house-sydney-surry-hills-2010-P1009119,Surry Hills,Sydney,295,True,1,Share House,5,2,5,02-07-2022
P1138770,/studio-sydney-enmore-2042-P1138770,Enmore,Sydney,300,True,1,Studio for rent,1,1,0,02-07-2022
P1140238,/share-house-sydney-millers-point-2000-P1140238,Millers Point,Sydney,375,True,1,Share House,6,4,6,02-07-2022
P1160698,/share-house-sydney-ultimo-2007-P1160698,Ultimo,Sydney,332,True,2,Share House,6,4,5,02-07-2022
P1083528,/share-house-sydney-stanmore-2048-P1083528,Stanmore,Sydney,295,True,1,Share House,4,2,5,02-07-2022
P1188142,/share-house-sydney-neutral-bay-2089-P1188142,Neutral Bay,Sydney,287,True,2,Share House,6,3,6,02-07-2022
P1185927,/whole-property-sydney-randwick-2031-P1185927,Randwick,Sydney,330,True,1,Whole Property for rent,1,1,0,02-07-2022
P1077199,/studio-sydney-paddington-2021-P1077199,Paddington,Sydney,375,True,1,Studio for rent,1,1,0,02-07-2022
P1156768,/studio-sydney-paddington-2021-P1156768,Paddington,Sydney,270,True,1,Studio for rent,1,1,0,02-07-2022
P1012897,/share-house-sydney-darlinghurst-2010-P1012897,Darlinghurst,Sydney,247,True,2,Flatshare,6,4,7,02-07-2022
