flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1251207,/share-house-sydney-arncliffe-2205-P1251207,Arncliffe,Sydney,280,True,1,Share House,4,2,3,15-10-2022
P1166439,/share-house-sydney-burwood-2134-P1166439,Burwood,Sydney,250,False,1,Share House,5,4,6,15-10-2022
P1246653,/share-house-sydney-burwood-2134-P1246653,Burwood,Sydney,280,False,1,Flatshare,2,1,2,15-10-2022
P851201,/share-house-sydney-mascot-2020-P851201,Mascot,Sydney,275,True,1,Share House,4,1,3,15-10-2022
P1248745,/share-house-sydney-baulkham-hills-2153-P1248745,Baulkham Hills,Sydney,300,True,1,Share House,3,2,3,15-10-2022
P1251237,/share-house-sydney-kingsford-2032-P1251237,Kingsford,Sydney,260,True,1,Flatshare,3,1,3,15-10-2022
P1247120,/share-house-sydney-palm-beach-2108-P1247120,Palm Beach,Sydney,500,True,2,Share House,3,3,3,15-10-2022
P997279,/share-house-sydney-sydney-olympic-park-2127-P997279,Sydney Olympic Park,Sydney,340,True,1,Flatshare,3,2,3,15-10-2022
P929206,/share-house-sydney-chatswood-2067-P929206,Chatswood,Sydney,375,True,1,Share House,5,2,5,15-10-2022
P1245527,/share-house-sydney-wentworthville-2145-P1245527,Wentworthville,Sydney,250,False,1,Share House,2,1,1,15-10-2022
P581930,/share-house-sydney-melrose-park-2114-P581930,Melrose Park,Sydney,200,True,1,Flatshare,2,2,3,15-10-2022
P883078,/share-house-sydney-enmore-2042-P883078,Enmore,Sydney,410,True,1,Share House,5,4,5,15-10-2022
P1181039,/share-house-sydney-bligh-park-2756-P1181039,Bligh Park,Sydney,210,False,1,Share House,4,2,3,15-10-2022
P1242188,/share-house-sydney-kensington-2033-P1242188,Kensington,Sydney,250,True,1,Share House,5,2,5,15-10-2022
P1250521,/share-house-sydney-epping-2121-P1250521,Epping,Sydney,195,True,1,Share House,5,2,4,15-10-2022
P1251250,/share-house-sydney-palm-beach-2108-P1251250,Palm Beach,Sydney,500,True,2,Share House,3,3,4,15-10-2022
P410453,/share-house-sydney-potts-point-2011-P410453,Potts Point,Sydney,240,True,1,Share House,6,4,7,15-10-2022
P1172461,/share-house-sydney-potts-point-2011-P1172461,Potts Point,Sydney,220,True,1,Share House,6,4,7,15-10-2022
P1251160,/share-house-sydney-wollstonecraft-2065-P1251160,Wollstonecraft,Sydney,300,False,1,Flatshare,3,2,3,15-10-2022
P1048026,/studio-sydney-marsfield-2122-P1048026,Marsfield,Sydney,410,True,1,Studio for rent,1,1,0,15-10-2022
P1191861,/share-house-sydney-sutherland-2232-P1191861,Sutherland,Sydney,350,True,1,Flatshare,2,2,1,15-10-2022
P1246349,/share-house-sydney-north-parramatta-2151-P1246349,North Parramatta,Sydney,350,False,1,Share House,3,1,1,15-10-2022
P87734,/share-house-sydney-woollahra-2025-P87734,Woollahra,Sydney,400,False,1,Share House,2,3,1,15-10-2022
P1250452,/share-house-sydney-parramatta-2150-P1250452,Parramatta,Sydney,290,True,1,Flatshare,5,2,5,15-10-2022
P1251167,/share-house-sydney-harrington-park-2567-P1251167,Harrington Park,Sydney,245,True,2,Share House,4,2,1,15-10-2022
P1251241,/share-house-sydney-arncliffe-2205-P1251241,Arncliffe,Sydney,550,True,1,Flatshare,2,2,3,15-10-2022
P1005106,/share-house-sydney-strathfield-2135-P1005106,Strathfield,Sydney,350,False,1,Flatshare,3,2,4,15-10-2022
P1249604,/share-house-sydney-newtown-2042-P1249604,Newtown,Sydney,350,True,1,Share House,3,1,3,15-10-2022
P1093856,/homestay-sydney-zetland-2017-P1093856,Zetland,Sydney,380,True,1,Homestay,3,2,2,15-10-2022
