flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1315140,/share-house-sydney-pendle-hill-2145-P1315140,Pendle Hill,Sydney,220,False,2,Share House,3,1,3,04-03-2023
P1318690,/share-house-sydney-bondi-2026-P1318690,Bondi,Sydney,400,False,1,Flatshare,3,2,1,04-03-2023
P1318598,/share-house-sydney-wolli-creek-2205-P1318598,Wolli Creek,Sydney,350,False,1,Flatshare,2,2,1,04-03-2023
P1318711,/share-house-sydney-box-hill-2765-P1318711,Box Hill,Sydney,350,True,1,Flatshare,2,1,1,04-03-2023
P1316117,/share-house-sydney-collaroy-2097-P1316117,Collaroy,Sydney,400,False,1,Flatshare,2,2,1,04-03-2023
P1246134,/homestay-sydney-padstow-2211-P1246134,Padstow,Sydney,300,True,1,Homestay,2,1,1,04-03-2023
P1256808,/share-house-sydney-double-bay-2028-P1256808,Double Bay,Sydney,650,True,1,Share House,2,2,2,04-03-2023
P1175403,/whole-property-sydney-rouse-hill-2155-P1175403,Rouse Hill,Sydney,400,True,1,Whole Property for rent,1,1,0,04-03-2023
P1316730,/share-house-sydney-epping-2121-P1316730,Epping,Sydney,400,True,1,Flatshare,2,2,3,04-03-2023
P353432,/granny-flat-sydney-bayview-2104-P353432,Bayview,Sydney,835,True,2,Granny Flat for rent,2,2,0,04-03-2023
P1156533,/share-house-sydney-parramatta-2150-P1156533,Parramatta,Sydney,600,True,1,Flatshare,2,2,2,04-03-2023
P1318776,/studio-sydney-surry-hills-2010-P1318776,Surry Hills,Sydney,385,False,1,Studio for rent,1,1,0,04-03-2023
P1318782,/whole-property-sydney-sutherland-2232-P1318782,Sutherland,Sydney,280,False,2,Whole Property for rent,2,1,0,04-03-2023
P1261400,/share-house-sydney-mosman-2088-P1261400,Mosman,Sydney,600,True,1,Share House,6,3,7,04-03-2023
P1287737,/share-house-sydney-waterloo-2017-P1287737,Waterloo,Sydney,420,False,1,Flatshare,2,2,2,04-03-2023
P1211371,/share-house-sydney-parramatta-2150-P1211371,Parramatta,Sydney,300,True,1,Flatshare,2,1,1,04-03-2023
P1315945,/studio-sydney-surry-hills-2010-P1315945,Surry Hills,Sydney,650,True,1,Studio for rent,1,1,0,04-03-2023
P1299441,/share-house-sydney-marsfield-2122-P1299441,Marsfield,Sydney,395,False,4,Share House,5,4,2,04-03-2023
P1318760,/homestay-sydney-newport-2106-P1318760,Newport,Sydney,375,True,1,Homestay,2,1,1,04-03-2023
P1262539,/share-house-sydney-epping-2121-P1262539,Epping,Sydney,380,True,1,Share House,3,3,4,04-03-2023
P1231370,/share-house-sydney-neutral-bay-2089-P1231370,Neutral Bay,Sydney,380,False,1,Share House,2,1,2,04-03-2023
P1317821,/share-house-sydney-lane-cove-north-2066-P1317821,Lane Cove North,Sydney,395,True,2,Flatshare,2,1,1,04-03-2023
P1318273,/1-bed-sydney-manly-2095-P1318273,Manly,Sydney,700,False,1,Bed for rent,1,1,0,04-03-2023
P1317377,/whole-property-sydney-earlwood-2206-P1317377,Earlwood,Sydney,800,True,2,Whole Property for rent,2,2,0,04-03-2023
P949326,/studio-sydney-cremorne-2090-P949326,Cremorne,Sydney,650,True,1,Studio for rent,1,1,0,04-03-2023
P1093258,/share-house-sydney-oran-park-2570-P1093258,Oran Park,Sydney,270,True,1,Share House,4,4,4,04-03-2023
P1318734,/share-house-sydney-macquarie-park-2113-P1318734,Macquarie Park,Sydney,200,True,1,Flatshare,2,1,2,04-03-2023
P1306437,/share-house-sydney-maroubra-2035-P1306437,Maroubra,Sydney,275,False,1,Share House,4,2,3,04-03-2023
P1120772,/share-house-sydney-curl-curl-2096-P1120772,Curl Curl,Sydney,355,True,4,Share House,4,3,4,04-03-2023
P223350,/share-house-sydney-bondi-2026-P223350,Bondi,Sydney,490,True,1,Flatshare,3,1,2,04-03-2023
P1318726,/share-house-sydney-pyrmont-2009-P1318726,Pyrmont,Sydney,400,True,1,Flatshare,2,2,3,04-03-2023
P1196808,/share-house-sydney-mount-druitt-2770-P1196808,Mount Druitt,Sydney,225,True,2,Share House,4,3,2,04-03-2023
P1318439,/share-house-sydney-rosebery-2018-P1318439,Rosebery,Sydney,490,False,1,Flatshare,2,2,2,04-03-2023
P1309419,/share-house-sydney-bondi-junction-2022-P1309419,Bondi Junction,Sydney,380,True,1,Flatshare,2,1,1,04-03-2023
P1122573,/share-house-sydney-north-sydney-2060-P1122573,North Sydney,Sydney,450,True,1,Flatshare,2,2,1,04-03-2023
P1295304,/share-house-sydney-ultimo-2007-P1295304,Ultimo,Sydney,270,True,1,Flatshare,3,2,5,04-03-2023
P1292817,/share-house-sydney-holsworthy-2173-P1292817,Holsworthy,Sydney,290,True,1,Share House,4,3,3,04-03-2023
P1115032,/share-house-sydney-bankstown-2200-P1115032,Bankstown,Sydney,280,False,1,Flatshare,2,2,1,04-03-2023
P958491,/share-house-sydney-kirribilli-2061-P958491,Kirribilli,Sydney,900,False,1,Flatshare,2,1,1,04-03-2023
P1173081,/share-house-sydney-zetland-2017-P1173081,Zetland,Sydney,450,False,1,Flatshare,2,2,2,04-03-2023
P1307205,/share-house-sydney-potts-point-2011-P1307205,Potts Point,Sydney,492,True,2,Flatshare,2,1,2,04-03-2023
P1313560,/share-house-sydney-sutherland-2232-P1313560,Sutherland,Sydney,280,False,1,Share House,2,1,1,04-03-2023
P826497,/share-house-sydney-northmead-2152-P826497,Northmead,Sydney,250,False,1,Flatshare,3,2,3,04-03-2023
P1317501,/share-house-sydney-woolloomooloo-2011-P1317501,Woolloomooloo,Sydney,500,True,1,Flatshare,2,1,2,04-03-2023
P1317923,/share-house-sydney-redfern-2016-P1317923,Redfern,Sydney,500,True,1,Flatshare,3,1,3,04-03-2023
P1318676,/student-accommodation-sydney-carlton-2218-P1318676,Carlton,Sydney,330,True,1,Student Accommodation,4,2,1,04-03-2023
P1318671,/share-house-sydney-the-ponds-2769-P1318671,The Ponds,Sydney,325,True,2,Share House,5,3,3,04-03-2023
P1307661,/share-house-sydney-burwood-2134-P1307661,Burwood,Sydney,690,True,1,Flatshare,2,2,1,04-03-2023
P844449,/share-house-sydney-neutral-bay-2089-P844449,Neutral Bay,Sydney,350,False,1,Flatshare,2,1,1,04-03-2023
P1238971,/share-house-sydney-miranda-2228-P1238971,Miranda,Sydney,285,False,1,Flatshare,2,2,2,04-03-2023
P1318661,/share-house-sydney-coogee-2034-P1318661,Coogee,Sydney,360,False,1,Flatshare,2,1,1,04-03-2023
P1289475,/share-house-sydney-queenscliff-2096-P1289475,Queenscliff,Sydney,480,False,2,Share House,3,1,1,04-03-2023
P1318624,/whole-property-sydney-canterbury-2193-P1318624,Canterbury,Sydney,600,True,2,Whole Property for rent,2,1,0,04-03-2023
P806419,/share-house-sydney-enmore-2042-P806419,Enmore,Sydney,280,False,1,Flatshare,2,1,2,04-03-2023
P1306492,/share-house-sydney-east-killara-2071-P1306492,East Killara,Sydney,330,False,1,Share House,4,2,4,04-03-2023
P1318572,/share-house-sydney-gregory-hills-2557-P1318572,Gregory Hills,Sydney,300,False,1,Share House,4,2,1,04-03-2023
P1182463,/share-house-sydney-manly-2095-P1182463,Manly,Sydney,550,True,1,Flatshare,2,1,2,04-03-2023
