flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1298844,/student-accommodation-sydney-macquarie-park-2113-P1298844,Macquarie Park,Sydney,490,False,1,Student Accommodation,2,2,2,28-01-2023
P1298630,/share-house-sydney-westmead-2145-P1298630,Westmead,Sydney,250,False,1,Flatshare,2,1,1,28-01-2023
P1298832,/share-house-sydney-north-willoughby-2068-P1298832,North Willoughby,Sydney,300,True,1,Flatshare,2,1,2,28-01-2023
P1298667,/share-house-sydney-glebe-2037-P1298667,Glebe,Sydney,600,True,1,Flatshare,2,2,2,28-01-2023
P1063033,/studio-sydney-2000-P1063033,Sydney,Sydney,615,False,1,Studio for rent,1,1,0,28-01-2023
P1116372,/share-house-sydney-northmead-2152-P1116372,Northmead,Sydney,230,False,1,Share House,4,2,2,28-01-2023
P1276439,/whole-property-sydney-petersham-2049-P1276439,Petersham,Sydney,350,False,2,Whole Property for rent,2,1,0,28-01-2023
P1298746,/share-house-sydney-artarmon-2064-P1298746,Artarmon,Sydney,280,True,1,Flatshare,2,1,2,28-01-2023
P1298792,/share-house-sydney-north-wahroonga-2076-P1298792,North Wahroonga,Sydney,400,True,1,Share House,4,3,3,28-01-2023
P1298810,/share-house-sydney-kirribilli-2061-P1298810,Kirribilli,Sydney,505,True,2,Share House,3,2,2,28-01-2023
P1298807,/share-house-sydney-randwick-2031-P1298807,Randwick,Sydney,450,False,1,Flatshare,2,1,1,28-01-2023
P1298801,/share-house-sydney-dharruk-2770-P1298801,Dharruk,Sydney,185,True,1,Flatshare,2,1,1,28-01-2023
P361724,/share-house-sydney-mosman-2088-P361724,Mosman,Sydney,330,True,1,Flatshare,2,1,2,28-01-2023
P1145763,/share-house-sydney-denham-court-2565-P1145763,Denham Court,Sydney,400,True,2,Share House,2,2,3,28-01-2023
P1218041,/share-house-sydney-glen-alpine-2560-P1218041,Glen Alpine,Sydney,160,False,1,Share House,4,3,1,28-01-2023
P1093258,/share-house-sydney-oran-park-2570-P1093258,Oran Park,Sydney,270,True,1,Share House,4,4,4,28-01-2023
P1284726,/share-house-sydney-maroubra-2035-P1284726,Maroubra,Sydney,540,False,1,Share House,6,4,7,28-01-2023
P1122804,/share-house-sydney-north-strathfield-2137-P1122804,North Strathfield,Sydney,200,False,1,Flatshare,3,2,1,28-01-2023
P1297220,/1-bed-sydney-north-ryde-2113-P1297220,North Ryde,Sydney,550,False,1,Bed for rent,1,1,0,28-01-2023
P1298779,/share-house-sydney-putney-2112-P1298779,Putney,Sydney,300,True,1,Share House,4,3,2,28-01-2023
P1274979,/share-house-sydney-paddington-2021-P1274979,Paddington,Sydney,204,False,2,Flatshare,1,1,1,28-01-2023
P1298651,/share-house-sydney-wolli-creek-2205-P1298651,Wolli Creek,Sydney,400,True,1,Flatshare,2,2,3,28-01-2023
P649874,/share-house-sydney-2000-P649874,Sydney,Sydney,500,True,1,Flatshare,2,2,2,28-01-2023
P1053334,/share-house-sydney-pyrmont-2009-P1053334,Pyrmont,Sydney,580,True,1,Flatshare,2,2,2,28-01-2023
P1296733,/share-house-sydney-marsfield-2122-P1296733,Marsfield,Sydney,260,False,1,Share House,3,2,3,28-01-2023
P1298772,/share-house-sydney-carlingford-2118-P1298772,Carlingford,Sydney,260,False,1,Flatshare,2,1,1,28-01-2023
P794473,/share-house-sydney-punchbowl-2196-P794473,Punchbowl,Sydney,200,True,1,Share House,5,2,4,28-01-2023
P1253286,/1-bed-sydney-bondi-junction-2022-P1253286,Bondi Junction,Sydney,900,True,1,Bed for rent,1,1,0,28-01-2023
P887860,/share-house-sydney-wiley-park-2195-P887860,Wiley Park,Sydney,220,True,1,Share House,4,2,4,28-01-2023
P1127105,/share-house-sydney-surry-hills-2010-P1127105,Surry Hills,Sydney,550,True,1,Flatshare,2,2,1,28-01-2023
P1209118,/share-house-sydney-double-bay-2028-P1209118,Double Bay,Sydney,300,False,1,Flatshare,3,1,2,28-01-2023
P1295655,/share-house-sydney-kensington-2033-P1295655,Kensington,Sydney,350,True,1,Share House,5,3,5,28-01-2023
P701496,/share-house-sydney-newtown-2042-P701496,Newtown,Sydney,197,False,2,Share House,6,2,6,28-01-2023
P993364,/share-house-sydney-glebe-2037-P993364,Glebe,Sydney,375,False,1,Share House,2,1,1,28-01-2023
P1137578,/share-house-sydney-rosebery-2018-P1137578,Rosebery,Sydney,350,False,1,Flatshare,2,2,1,28-01-2023
P1296880,/share-house-sydney-petersham-2049-P1296880,Petersham,Sydney,350,True,1,Flatshare,2,2,2,28-01-2023
P1297629,/share-house-sydney-wollstonecraft-2065-P1297629,Wollstonecraft,Sydney,410,False,1,Flatshare,3,2,3,28-01-2023
P1298716,/studio-sydney-redfern-2016-P1298716,Redfern,Sydney,679,True,1,Studio for rent,1,1,1,28-01-2023
P1298743,/share-house-sydney-orchard-hills-2748-P1298743,Orchard Hills,Sydney,275,True,1,Share House,4,1,1,28-01-2023
P1291583,/share-house-sydney-bardwell-valley-2207-P1291583,Bardwell Valley,Sydney,430,False,1,Share House,3,1,2,28-01-2023
P1281266,/share-house-sydney-rosebery-2018-P1281266,Rosebery,Sydney,380,False,1,Flatshare,2,2,1,28-01-2023
P1158745,/share-house-sydney-st-peters-2044-P1158745,St Peters,Sydney,195,False,2,Share House,6,2,6,28-01-2023
P1284433,/whole-property-sydney-glebe-2037-P1284433,Glebe,Sydney,925,True,2,Whole Property for rent,2,2,0,28-01-2023
P1295098,/share-house-sydney-avalon-beach-2107-P1295098,Avalon Beach,Sydney,650,True,1,Share House,5,3,3,28-01-2023
P1298715,/whole-property-sydney-hurlstone-park-2193-P1298715,Hurlstone Park,Sydney,1100,False,3,Whole Property for rent,3,2,0,28-01-2023
P1271297,/share-house-sydney-sydney-olympic-park-2127-P1271297,Sydney Olympic Park,Sydney,510,True,1,Flatshare,2,2,2,28-01-2023
P1298739,/share-house-sydney-darlinghurst-2010-P1298739,Darlinghurst,Sydney,500,False,1,Share House,4,1,4,28-01-2023
P1298679,/share-house-sydney-chatswood-2067-P1298679,Chatswood,Sydney,310,True,1,Share House,5,3,5,28-01-2023
P1172461,/share-house-sydney-potts-point-2011-P1172461,Potts Point,Sydney,310,True,1,Share House,6,4,7,28-01-2023
P1298644,/share-house-sydney-pyrmont-2009-P1298644,Pyrmont,Sydney,450,False,1,Flatshare,3,2,3,28-01-2023
P1251333,/share-house-sydney-mcmahons-point-2060-P1251333,McMahons Point,Sydney,340,True,1,Flatshare,2,1,3,28-01-2023
P1298296,/share-house-sydney-cronulla-2230-P1298296,Cronulla,Sydney,295,True,2,Flatshare,3,1,3,28-01-2023
P1256672,/share-house-sydney-blacktown-2148-P1256672,Blacktown,Sydney,300,False,1,Flatshare,2,2,1,28-01-2023
P1194877,/student-accommodation-sydney-bondi-2026-P1194877,Bondi,Sydney,490,True,1,Student Accommodation,5,4,6,28-01-2023
P1298629,/share-house-sydney-ultimo-2007-P1298629,Ultimo,Sydney,195,True,1,Share House,3,1,6,28-01-2023
P1294749,/share-house-sydney-randwick-2031-P1294749,Randwick,Sydney,380,False,1,Flatshare,2,2,1,28-01-2023
P1298021,/studio-sydney-potts-point-2011-P1298021,Potts Point,Sydney,500,True,1,Studio for rent,1,1,0,28-01-2023
P593363,/share-house-sydney-glenmore-park-2745-P593363,Glenmore Park,Sydney,220,False,1,Share House,4,2,2,28-01-2023
P1185399,/share-house-sydney-neutral-bay-2089-P1185399,Neutral Bay,Sydney,387,False,2,Share House,3,2,3,28-01-2023
P1198243,/share-house-sydney-vaucluse-2030-P1198243,Vaucluse,Sydney,400,False,1,Share House,3,3,1,28-01-2023
P976131,/share-house-sydney-haymarket-2000-P976131,Haymarket,Sydney,450,True,3,Flatshare,3,2,4,28-01-2023
P1131459,/share-house-sydney-oakhurst-2761-P1131459,Oakhurst,Sydney,200,False,1,Share House,4,3,1,28-01-2023
P1293832,/share-house-sydney-carramar-2163-P1293832,Carramar,Sydney,190,True,4,Share House,4,1,7,28-01-2023
P1157588,/share-house-sydney-chatswood-2067-P1157588,Chatswood,Sydney,380,True,1,Flatshare,2,2,2,28-01-2023
P1297589,/share-house-sydney-millers-point-2000-P1297589,Millers Point,Sydney,350,False,1,Flatshare,2,1,1,28-01-2023
