flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1121823,/share-house-sydney-haymarket-2000-P1121823,Haymarket,Sydney,350,True,1,Flatshare,3,2,4,16-07-2022
P1213858,/share-house-sydney-homebush-west-2140-P1213858,Homebush West,Sydney,230,True,1,Share House,4,2,4,16-07-2022
P1214487,/1-bed-sydney-bella-vista-2153-P1214487,Bella Vista,Sydney,400,False,1,Bed for rent,1,1,0,16-07-2022
P1007001,/share-house-sydney-marrickville-2204-P1007001,Marrickville,Sydney,285,True,1,Share House,6,4,7,16-07-2022
P1211962,/share-house-sydney-waverley-2024-P1211962,Waverley,Sydney,350,False,1,Flatshare,2,1,2,16-07-2022
P1214493,/share-house-sydney-parramatta-2150-P1214493,Parramatta,Sydney,475,True,2,Flatshare,3,3,3,16-07-2022
P1029760,/share-house-sydney-bexley-2207-P1029760,Bexley,Sydney,170,True,1,Share House,4,3,3,16-07-2022
P802024,/share-house-sydney-maroubra-2035-P802024,Maroubra,Sydney,240,False,1,Share House,4,2,5,16-07-2022
P1081022,/share-house-sydney-bellevue-hill-2023-P1081022,Bellevue Hill,Sydney,350,True,1,Share House,3,2,2,16-07-2022
P1188933,/share-house-sydney-zetland-2017-P1188933,Zetland,Sydney,390,False,1,Flatshare,2,2,3,16-07-2022
P1214477,/share-house-sydney-castle-hill-2154-P1214477,Castle Hill,Sydney,290,True,1,Flatshare,3,2,2,16-07-2022
P1209581,/share-house-sydney-ashfield-2131-P1209581,Ashfield,Sydney,230,False,1,Flatshare,2,1,1,16-07-2022
P1122375,/share-house-sydney-chippendale-2008-P1122375,Chippendale,Sydney,330,True,1,Share House,6,4,7,16-07-2022
P1160698,/share-house-sydney-ultimo-2007-P1160698,Ultimo,Sydney,280,True,1,Share House,6,4,5,16-07-2022
P1030055,/share-house-sydney-chippendale-2008-P1030055,Chippendale,Sydney,310,True,1,Share House,6,4,7,16-07-2022
P1138771,/studio-sydney-enmore-2042-P1138771,Enmore,Sydney,325,True,1,Studio for rent,1,1,0,16-07-2022
P988237,/share-house-sydney-ultimo-2007-P988237,Ultimo,Sydney,290,True,1,Share House,4,1,4,16-07-2022
P609395,/share-house-sydney-redfern-2016-P609395,Redfern,Sydney,350,True,1,Flatshare,4,1,3,16-07-2022
P1160954,/studio-sydney-surry-hills-2010-P1160954,Surry Hills,Sydney,385,True,1,Studio for rent,1,1,0,16-07-2022
P1012897,/share-house-sydney-darlinghurst-2010-P1012897,Darlinghurst,Sydney,230,True,2,Flatshare,6,4,7,16-07-2022
P1188142,/share-house-sydney-neutral-bay-2089-P1188142,Neutral Bay,Sydney,340,True,1,Share House,6,3,6,16-07-2022
P1103420,/share-house-sydney-petersham-2049-P1103420,Petersham,Sydney,245,True,1,Share House,6,2,7,16-07-2022
P1129982,/share-house-sydney-bondi-junction-2022-P1129982,Bondi Junction,Sydney,275,True,1,Share House,4,4,4,16-07-2022
P1042196,/share-house-sydney-redfern-2016-P1042196,Redfern,Sydney,260,True,1,Share House,6,3,7,16-07-2022
P1128678,/share-house-sydney-bondi-junction-2022-P1128678,Bondi Junction,Sydney,300,True,1,Share House,4,4,4,16-07-2022
P991954,/share-house-sydney-ultimo-2007-P991954,Ultimo,Sydney,270,True,1,Share House,6,2,7,16-07-2022
P1047220,/share-house-sydney-ultimo-2007-P1047220,Ultimo,Sydney,285,True,2,Share House,5,2,5,16-07-2022
P929206,/share-house-sydney-chatswood-2067-P929206,Chatswood,Sydney,360,True,1,Share House,5,2,5,16-07-2022
P1125511,/share-house-sydney-haymarket-2000-P1125511,Haymarket,Sydney,375,True,1,Flatshare,6,4,7,16-07-2022
P794435,/share-house-sydney-chatswood-2067-P794435,Chatswood,Sydney,360,True,1,Share House,6,3,7,16-07-2022
P1214390,/share-house-sydney-kingswood-2747-P1214390,Kingswood,Sydney,160,False,2,Share House,3,2,3,16-07-2022
P1007776,/share-house-sydney-woolloomooloo-2011-P1007776,Woolloomooloo,Sydney,300,True,1,Share House,3,2,3,16-07-2022
P577551,/share-house-sydney-campbelltown-2560-P577551,Campbelltown,Sydney,150,True,1,Flatshare,2,2,1,16-07-2022
P1212969,/share-house-sydney-holsworthy-2173-P1212969,Holsworthy,Sydney,237,True,2,Share House,3,2,3,16-07-2022
P1206614,/share-house-sydney-dee-why-2099-P1206614,Dee Why,Sydney,300,False,1,Flatshare,3,2,3,16-07-2022
P492733,/share-house-sydney-burwood-2134-P492733,Burwood,Sydney,265,True,1,Flatshare,3,2,2,16-07-2022
P1209766,/share-house-sydney-2000-P1209766,Sydney,Sydney,450,False,1,Flatshare,3,1,4,16-07-2022
P1192042,/share-house-sydney-parramatta-2150-P1192042,Parramatta,Sydney,230,True,1,Flatshare,3,2,3,16-07-2022
P1213800,/share-house-sydney-ashfield-2131-P1213800,Ashfield,Sydney,275,True,1,Share House,2,1,2,16-07-2022
P1148383,/share-house-sydney-darling-point-2027-P1148383,Darling Point,Sydney,600,False,1,Flatshare,4,3,3,16-07-2022
P1210617,/share-house-sydney-pyrmont-2009-P1210617,Pyrmont,Sydney,575,False,1,Flatshare,2,2,1,16-07-2022
P1195303,/share-house-sydney-bilgola-plateau-2107-P1195303,Bilgola Plateau,Sydney,250,True,1,Share House,4,2,3,16-07-2022
P1151968,/share-house-sydney-manly-2095-P1151968,Manly,Sydney,370,True,1,Flatshare,2,1,1,16-07-2022
P1214465,/share-house-sydney-canterbury-2193-P1214465,Canterbury,Sydney,180,True,1,Share House,3,1,3,16-07-2022
P1202652,/share-house-sydney-balmain-2041-P1202652,Balmain,Sydney,220,False,1,Share House,4,1,4,16-07-2022
P1214186,/share-house-sydney-marsfield-2122-P1214186,Marsfield,Sydney,240,True,1,Share House,5,4,1,16-07-2022
P1214466,/share-house-sydney-campbelltown-2560-P1214466,Campbelltown,Sydney,155,True,1,Share House,4,2,3,16-07-2022
P1093809,/share-house-sydney-bondi-beach-2026-P1093809,Bondi Beach,Sydney,170,False,1,Share House,3,1,2,16-07-2022
P1208733,/granny-flat-sydney-bella-vista-2153-P1208733,Bella Vista,Sydney,450,False,2,Granny Flat for rent,2,1,0,16-07-2022
