flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1456539,/share-house-sydney-rockdale-2216-P1456539,Rockdale,Sydney,500,True,1,Flatshare,2,2,2,30-12-2023
P1076662,/share-house-sydney-saint-ives-chase-2075-P1076662,Saint Ives Chase,Sydney,250,True,1,Share House,6,3,1,30-12-2023
P1480493,/share-house-sydney-campbelltown-2560-P1480493,Campbelltown,Sydney,275,True,2,Flatshare,3,1,3,30-12-2023
P1108440,/share-house-sydney-pyrmont-2009-P1108440,Pyrmont,Sydney,450,False,1,Flatshare,3,3,3,30-12-2023
P1480563,/share-house-sydney-lidcombe-2141-P1480563,Lidcombe,Sydney,400,True,1,Flatshare,2,2,2,30-12-2023
P559482,/share-house-sydney-parramatta-2150-P559482,Parramatta,Sydney,350,False,1,Flatshare,2,2,1,30-12-2023
P1160406,/share-house-sydney-surry-hills-2010-P1160406,Surry Hills,Sydney,297,True,3,Share House,6,4,7,30-12-2023
P1469907,/whole-property-sydney-rosebery-2018-P1469907,Rosebery,Sydney,1500,False,3,Whole Property for rent,3,2,0,30-12-2023
P1478357,/whole-property-sydney-mascot-2020-P1478357,Mascot,Sydney,1650,False,3,Whole Property for rent,3,2,0,30-12-2023
P1473570,/share-house-sydney-zetland-2017-P1473570,Zetland,Sydney,550,True,1,Flatshare,2,2,1,30-12-2023
P1475307,/share-house-sydney-haymarket-2000-P1475307,Haymarket,Sydney,675,True,1,Flatshare,2,1,2,30-12-2023
P1469893,/whole-property-sydney-leichhardt-2040-P1469893,Leichhardt,Sydney,1000,True,2,Whole Property for rent,2,2,0,30-12-2023
P1479928,/whole-property-sydney-lewisham-2049-P1479928,Lewisham,Sydney,1100,False,3,Whole Property for rent,3,2,0,30-12-2023
P1471426,/share-house-sydney-ultimo-2007-P1471426,Ultimo,Sydney,450,True,1,Flatshare,2,1,2,30-12-2023
P1470613,/share-house-sydney-zetland-2017-P1470613,Zetland,Sydney,550,True,1,Flatshare,2,1,2,30-12-2023
P1471802,/whole-property-sydney-zetland-2017-P1471802,Zetland,Sydney,1200,True,2,Whole Property for rent,2,2,0,30-12-2023
P1469797,/whole-property-sydney-zetland-2017-P1469797,Zetland,Sydney,550,True,1,Whole Property for rent,1,1,0,30-12-2023
P1475264,/whole-property-sydney-zetland-2017-P1475264,Zetland,Sydney,1100,True,2,Whole Property for rent,2,2,0,30-12-2023
P1475258,/share-house-sydney-pyrmont-2009-P1475258,Pyrmont,Sydney,580,True,1,Flatshare,2,1,2,30-12-2023
P1474644,/share-house-sydney-pyrmont-2009-P1474644,Pyrmont,Sydney,580,True,1,Flatshare,2,2,2,30-12-2023
P1473563,/share-house-sydney-leichhardt-2040-P1473563,Leichhardt,Sydney,500,False,1,Flatshare,2,1,1,30-12-2023
P1475325,/whole-property-sydney-haymarket-2000-P1475325,Haymarket,Sydney,1500,False,2,Whole Property for rent,2,2,0,30-12-2023
P1280978,/share-house-sydney-2000-P1280978,Sydney,Sydney,400,True,1,Flatshare,4,2,5,30-12-2023
P999903,/share-house-sydney-macquarie-park-2113-P999903,Macquarie Park,Sydney,475,True,1,Flatshare,2,2,3,30-12-2023
P1051266,/share-house-sydney-rydalmere-2116-P1051266,Rydalmere,Sydney,280,False,1,Share House,4,1,2,30-12-2023
P1456551,/share-house-sydney-freshwater-2096-P1456551,Freshwater,Sydney,450,True,1,Flatshare,2,1,2,30-12-2023
P1422373,/share-house-sydney-bexley-2207-P1422373,Bexley,Sydney,290,True,1,Share House,6,3,7,30-12-2023
P551587,/share-house-sydney-chatswood-2067-P551587,Chatswood,Sydney,450,True,1,Flatshare,2,2,2,30-12-2023
P1141737,/share-house-sydney-zetland-2017-P1141737,Zetland,Sydney,390,True,1,Flatshare,2,1,2,30-12-2023
P1248899,/share-house-sydney-bondi-junction-2022-P1248899,Bondi Junction,Sydney,550,True,1,Flatshare,2,1,3,30-12-2023
P1275327,/share-house-sydney-baulkham-hills-2153-P1275327,Baulkham Hills,Sydney,350,True,2,Flatshare,2,1,1,30-12-2023
P1480069,/share-house-sydney-haymarket-2000-P1480069,Haymarket,Sydney,590,True,1,Share House,2,2,4,30-12-2023
P1480398,/share-house-sydney-surry-hills-2010-P1480398,Surry Hills,Sydney,347,False,1,Share House,4,2,4,30-12-2023
P1480540,/share-house-sydney-mascot-2020-P1480540,Mascot,Sydney,320,True,1,Flatshare,2,1,1,30-12-2023
P1432804,/share-house-sydney-chippendale-2008-P1432804,Chippendale,Sydney,250,True,1,Flatshare,2,1,4,30-12-2023
P1477185,/share-house-sydney-wolli-creek-2205-P1477185,Wolli Creek,Sydney,385,True,1,Flatshare,3,2,3,30-12-2023
P724221,/share-house-sydney-coogee-2034-P724221,Coogee,Sydney,400,True,1,Flatshare,3,1,3,30-12-2023
P1480514,/share-house-sydney-maroubra-2035-P1480514,Maroubra,Sydney,280,False,1,Flatshare,3,1,1,30-12-2023
P1403727,/share-house-sydney-ultimo-2007-P1403727,Ultimo,Sydney,270,True,1,Flatshare,3,2,5,30-12-2023
P1480147,/share-house-sydney-glebe-2037-P1480147,Glebe,Sydney,285,False,1,Share House,4,1,4,30-12-2023
P1480526,/whole-property-sydney-epping-2121-P1480526,Epping,Sydney,1200,False,5,Whole Property for rent,5,3,0,30-12-2023
