flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1418715,/share-house-sydney-waitara-2077-P1418715,Waitara,Sydney,390,True,1,Flatshare,2,2,2,02-09-2023
P1411773,/share-house-sydney-monterey-2217-P1411773,Monterey,Sydney,400,True,1,Flatshare,2,1,1,02-09-2023
P1173633,/share-house-sydney-dee-why-2099-P1173633,Dee Why,Sydney,350,False,1,Share House,2,1,2,02-09-2023
P1155285,/share-house-sydney-macquarie-park-2113-P1155285,Macquarie Park,Sydney,375,True,1,Flatshare,2,2,2,02-09-2023
P1419881,/share-house-sydney-mays-hill-2145-P1419881,Mays Hill,Sydney,320,False,1,Flatshare,2,2,2,02-09-2023
P1395881,/share-house-sydney-werrington-downs-2747-P1395881,Werrington Downs,Sydney,250,True,1,Share House,4,2,2,02-09-2023
P1110904,/share-house-sydney-bondi-beach-2026-P1110904,Bondi Beach,Sydney,550,True,1,Share House,3,2,3,02-09-2023
P1282509,/share-house-sydney-crows-nest-2065-P1282509,Crows Nest,Sydney,435,True,1,Flatshare,2,1,1,02-09-2023
P1409316,/whole-property-sydney-zetland-2017-P1409316,Zetland,Sydney,1750,True,3,Whole Property for rent,3,2,0,02-09-2023
P1356822,/student-accommodation-sydney-macquarie-park-2113-P1356822,Macquarie Park,Sydney,600,True,1,Student Accommodation,2,2,2,02-09-2023
P1407615,/share-house-sydney-rose-bay-2029-P1407615,Rose Bay,Sydney,405,False,2,Flatshare,3,1,1,02-09-2023
P647454,/share-house-sydney-haymarket-2000-P647454,Haymarket,Sydney,580,True,1,Flatshare,4,2,4,02-09-2023
P1350309,/studio-sydney-mosman-2088-P1350309,Mosman,Sydney,850,True,1,Studio for rent,1,1,0,02-09-2023
P1418874,/homestay-sydney-erskineville-2043-P1418874,Erskineville,Sydney,425,False,1,Homestay,2,2,2,02-09-2023
P1419873,/share-house-sydney-eastwood-2122-P1419873,Eastwood,Sydney,220,True,1,Share House,3,2,3,02-09-2023
P1419878,/share-house-sydney-stanmore-2048-P1419878,Stanmore,Sydney,300,True,5,Share House,6,2,7,02-09-2023
P1307378,/share-house-sydney-balgowlah-2093-P1307378,Balgowlah,Sydney,350,True,1,Flatshare,2,1,2,02-09-2023
P1418395,/share-house-sydney-rose-bay-2029-P1418395,Rose Bay,Sydney,250,True,1,Share House,2,1,1,02-09-2023
P1325501,/student-accommodation-sydney-allawah-2218-P1325501,Allawah,Sydney,360,True,1,Student Accommodation,3,2,1,02-09-2023
P1412866,/share-house-sydney-bondi-beach-2026-P1412866,Bondi Beach,Sydney,400,False,1,Flatshare,2,1,2,02-09-2023
P1419874,/share-house-sydney-rozelle-2039-P1419874,Rozelle,Sydney,330,True,3,Share House,3,1,3,02-09-2023
P1326767,/share-house-sydney-ashfield-2131-P1326767,Ashfield,Sydney,230,False,1,Flatshare,2,1,2,02-09-2023
P1129783,/share-house-sydney-haymarket-2000-P1129783,Haymarket,Sydney,335,True,1,Flatshare,2,2,3,02-09-2023
P1119799,/share-house-sydney-eastwood-2122-P1119799,Eastwood,Sydney,480,True,1,Share House,4,3,3,02-09-2023
P1410801,/share-house-sydney-kirrawee-2232-P1410801,Kirrawee,Sydney,385,True,1,Flatshare,2,2,2,02-09-2023
P1415654,/share-house-sydney-leichhardt-2040-P1415654,Leichhardt,Sydney,420,True,1,Share House,2,1,1,02-09-2023
P1419861,/share-house-sydney-waverley-2024-P1419861,Waverley,Sydney,550,False,1,Flatshare,2,2,2,02-09-2023
P359847,/share-house-sydney-parklea-2768-P359847,Parklea,Sydney,290,True,1,Flatshare,3,2,3,02-09-2023
