flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1245248,/share-house-sydney-brighton-le-sands-2216-P1245248,Brighton-Le-Sands,Sydney,300,True,1,Share House,3,2,3,12-11-2022
P1194921,/share-house-sydney-darlinghurst-2010-P1194921,Darlinghurst,Sydney,500,True,1,Share House,6,4,7,12-11-2022
P1184883,/student-accommodation-sydney-darlinghurst-2010-P1184883,Darlinghurst,Sydney,360,True,1,Student Accommodation,6,4,7,12-11-2022
P1173474,/share-house-sydney-chatswood-2067-P1173474,Chatswood,Sydney,330,True,1,Share House,3,1,2,12-11-2022
P1263297,/share-house-sydney-northmead-2152-P1263297,Northmead,Sydney,300,False,1,Flatshare,3,2,1,12-11-2022
P847268,/share-house-sydney-rosebery-2018-P847268,Rosebery,Sydney,360,False,1,Flatshare,2,2,2,12-11-2022
P1262313,/share-house-sydney-ermington-2115-P1262313,Ermington,Sydney,260,False,1,Share House,3,2,3,12-11-2022
P1263226,/share-house-sydney-north-sydney-2060-P1263226,North Sydney,Sydney,300,True,1,Flatshare,2,2,2,12-11-2022
P1263277,/homestay-sydney-malabar-2036-P1263277,Malabar,Sydney,400,True,1,Homestay,3,2,3,12-11-2022
P1260512,/share-house-sydney-bondi-beach-2026-P1260512,Bondi Beach,Sydney,410,True,2,Flatshare,3,1,3,12-11-2022
P1071395,/share-house-sydney-rosebery-2018-P1071395,Rosebery,Sydney,400,False,1,Flatshare,2,2,1,12-11-2022
P724221,/share-house-sydney-coogee-2034-P724221,Coogee,Sydney,380,True,1,Flatshare,3,1,3,12-11-2022
P148776,/share-house-sydney-camperdown-2050-P148776,Camperdown,Sydney,400,False,6,Share House,6,4,7,12-11-2022
P1007169,/share-house-sydney-macquarie-park-2113-P1007169,Macquarie Park,Sydney,320,False,1,Flatshare,2,2,1,12-11-2022
P1260356,/share-house-sydney-beaconsfield-2015-P1260356,Beaconsfield,Sydney,300,False,1,Share House,3,1,3,12-11-2022
P997936,/share-house-sydney-bronte-2024-P997936,Bronte,Sydney,350,False,1,Flatshare,2,1,2,12-11-2022
P1222336,/share-house-sydney-westmead-2145-P1222336,Westmead,Sydney,250,True,1,Flatshare,3,2,3,12-11-2022
P1262183,/share-house-sydney-waterloo-2017-P1262183,Waterloo,Sydney,50,True,1,Flatshare,2,1,1,12-11-2022
P1262791,/share-house-sydney-chippendale-2008-P1262791,Chippendale,Sydney,385,False,1,Share House,4,2,4,12-11-2022
P460846,/share-house-sydney-surry-hills-2010-P460846,Surry Hills,Sydney,290,True,1,Share House,4,2,3,12-11-2022
P1240954,/share-house-sydney-2000-P1240954,Sydney,Sydney,600,True,1,Flatshare,2,1,4,12-11-2022
P778193,/share-house-sydney-castle-hill-2154-P778193,Castle Hill,Sydney,230,True,1,Share House,4,3,5,12-11-2022
P1263268,/share-house-sydney-randwick-2031-P1263268,Randwick,Sydney,350,False,1,Flatshare,3,2,3,12-11-2022
P1263218,/share-house-sydney-north-sydney-2060-P1263218,North Sydney,Sydney,390,False,1,Flatshare,2,2,2,12-11-2022
P581930,/share-house-sydney-melrose-park-2114-P581930,Melrose Park,Sydney,200,True,1,Flatshare,3,2,3,12-11-2022
P712660,/share-house-sydney-2000-P712660,Sydney,Sydney,430,True,1,Flatshare,2,2,2,12-11-2022
P747631,/share-house-sydney-eastwood-2122-P747631,Eastwood,Sydney,140,True,1,Share House,6,2,7,12-11-2022
P1251150,/student-accommodation-sydney-kingsgrove-2208-P1251150,Kingsgrove,Sydney,185,True,1,Student Accommodation,2,1,1,12-11-2022
P1262224,/share-house-sydney-merrylands-2160-P1262224,Merrylands,Sydney,270,True,1,Flatshare,2,2,1,12-11-2022
P1263139,/share-house-sydney-homebush-2140-P1263139,Homebush,Sydney,390,True,1,Flatshare,2,2,1,12-11-2022
