flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1184732,/share-house-sydney-maroubra-2035-P1184732,Maroubra,Sydney,400,False,1,Share House,3,2,3,30-07-2022
P1217834,/share-house-sydney-sutherland-2232-P1217834,Sutherland,Sydney,310,True,1,Share House,3,2,2,30-07-2022
P1219176,/share-house-sydney-queenscliff-2096-P1219176,Queenscliff,Sydney,330,True,1,Flatshare,2,1,1,30-07-2022
P1219837,/share-house-sydney-maroubra-2035-P1219837,Maroubra,Sydney,350,True,1,Flatshare,2,1,2,30-07-2022
P853550,/share-house-sydney-rozelle-2039-P853550,Rozelle,Sydney,315,True,1,Share House,6,3,7,30-07-2022
P1154446,/share-house-sydney-bexley-2207-P1154446,Bexley,Sydney,249,True,1,Share House,2,2,2,30-07-2022
P1030201,/share-house-sydney-rose-bay-2029-P1030201,Rose Bay,Sydney,350,True,1,Flatshare,2,1,2,30-07-2022
P1219581,/student-accommodation-sydney-kensington-2052-P1219581,Kensington,Sydney,300,True,1,Student Accommodation,6,3,7,30-07-2022
P1179812,/share-house-sydney-2000-P1179812,Sydney,Sydney,450,True,1,Share House,2,2,1,30-07-2022
P969871,/share-house-sydney-campsie-2194-P969871,Campsie,Sydney,120,True,1,Flatshare,2,1,2,30-07-2022
P907551,/share-house-sydney-campsie-2194-P907551,Campsie,Sydney,120,True,1,Flatshare,2,1,2,30-07-2022
P1219244,/share-house-sydney-glebe-2037-P1219244,Glebe,Sydney,360,True,1,Share House,5,3,5,30-07-2022
P1219864,/share-house-sydney-currans-hill-2567-P1219864,Currans Hill,Sydney,200,False,1,Share House,3,1,1,30-07-2022
P1219550,/share-house-sydney-colebee-2761-P1219550,Colebee,Sydney,300,True,1,Share House,4,3,2,30-07-2022
P1219861,/share-house-sydney-chatswood-2067-P1219861,Chatswood,Sydney,260,True,1,Share House,2,2,1,30-07-2022
P1217396,/share-house-sydney-punchbowl-2196-P1217396,Punchbowl,Sydney,190,True,1,Share House,4,3,3,30-07-2022
P1013058,/share-house-sydney-darlinghurst-2010-P1013058,Darlinghurst,Sydney,230,True,1,Share House,6,4,7,30-07-2022
P1200066,/share-house-sydney-rosebery-2018-P1200066,Rosebery,Sydney,250,False,1,Share House,3,2,2,30-07-2022
P342939,/share-house-sydney-mount-colah-2079-P342939,Mount Colah,Sydney,200,True,2,Share House,4,2,2,30-07-2022
P1148469,/share-house-sydney-stanmore-2048-P1148469,Stanmore,Sydney,230,True,1,Share House,5,2,5,30-07-2022
P1219833,/share-house-sydney-cronulla-2230-P1219833,Cronulla,Sydney,300,False,1,Flatshare,3,2,3,30-07-2022
P592506,/share-house-sydney-rydalmere-2116-P592506,Rydalmere,Sydney,220,True,1,Flatshare,3,2,3,30-07-2022
P1218467,/share-house-sydney-leichhardt-2040-P1218467,Leichhardt,Sydney,315,False,1,Flatshare,2,2,1,30-07-2022
P1216926,/share-house-sydney-kogarah-2217-P1216926,Kogarah,Sydney,300,True,1,Share House,3,2,2,30-07-2022
P1218315,/share-house-sydney-marrickville-2204-P1218315,Marrickville,Sydney,225,False,1,Flatshare,2,1,2,30-07-2022
P1128678,/share-house-sydney-bondi-junction-2022-P1128678,Bondi Junction,Sydney,270,True,1,Share House,4,4,4,30-07-2022
P1195022,/share-house-sydney-balmain-east-2041-P1195022,Balmain East,Sydney,290,True,1,Flatshare,2,1,1,30-07-2022
P1194094,/studio-sydney-newtown-2042-P1194094,Newtown,Sydney,470,True,1,Studio for rent,1,1,0,30-07-2022
P1151169,/share-house-sydney-parramatta-2150-P1151169,Parramatta,Sydney,370,False,1,Flatshare,2,2,1,30-07-2022
P1219616,/share-house-sydney-dulwich-hill-2203-P1219616,Dulwich Hill,Sydney,270,True,1,Share House,3,3,2,30-07-2022
P1174834,/share-house-sydney-south-coogee-2034-P1174834,South Coogee,Sydney,260,False,1,Share House,3,1,3,30-07-2022
P1103429,/share-house-sydney-carlingford-2118-P1103429,Carlingford,Sydney,250,False,1,Flatshare,2,2,2,30-07-2022
P1189972,/share-house-sydney-sydney-olympic-park-2127-P1189972,Sydney Olympic Park,Sydney,400,True,1,Flatshare,2,2,2,30-07-2022
P1006298,/share-house-sydney-northbridge-2063-P1006298,Northbridge,Sydney,350,True,1,Share House,2,1,2,30-07-2022
P1090874,/share-house-sydney-fairfield-2165-P1090874,Fairfield,Sydney,270,True,1,Share House,2,2,1,30-07-2022
P1211397,/1-bed-sydney-bondi-2026-P1211397,Bondi,Sydney,510,False,1,Bed for rent,1,1,0,30-07-2022
P1219828,/share-house-sydney-coogee-2034-P1219828,Coogee,Sydney,300,False,1,Flatshare,2,1,1,30-07-2022
P1219808,/share-house-sydney-north-bondi-2026-P1219808,North Bondi,Sydney,340,False,1,Flatshare,2,1,2,30-07-2022
P918573,/share-house-sydney-bondi-2026-P918573,Bondi,Sydney,320,True,1,Share House,3,1,2,30-07-2022
P1173633,/share-house-sydney-dee-why-2099-P1173633,Dee Why,Sydney,320,False,1,Share House,2,1,2,30-07-2022
P1015984,/granny-flat-sydney-enmore-2042-P1015984,Enmore,Sydney,400,False,1,Granny Flat for rent,1,1,0,30-07-2022
P1218228,/share-house-sydney-north-curl-curl-2099-P1218228,North Curl Curl,Sydney,350,False,1,Flatshare,2,2,1,30-07-2022
P752642,/share-house-sydney-ultimo-2007-P752642,Ultimo,Sydney,190,True,1,Flatshare,3,2,4,30-07-2022
P1216189,/share-house-sydney-liverpool-2170-P1216189,Liverpool,Sydney,210,False,1,Flatshare,2,2,1,30-07-2022
P1006374,/share-house-sydney-kogarah-2217-P1006374,Kogarah,Sydney,250,False,1,Share House,2,1,2,30-07-2022
P1219108,/share-house-sydney-austral-2179-P1219108,Austral,Sydney,250,False,1,Share House,3,2,1,30-07-2022
P1141437,/share-house-sydney-cremorne-2090-P1141437,Cremorne,Sydney,320,False,1,Flatshare,3,2,3,30-07-2022
P880930,/share-house-sydney-enmore-2042-P880930,Enmore,Sydney,350,True,1,Share House,5,4,5,30-07-2022
P1219812,/share-house-sydney-kellyville-2155-P1219812,Kellyville,Sydney,165,True,2,Share House,4,3,4,30-07-2022
P996112,/share-house-sydney-castle-hill-2154-P996112,Castle Hill,Sydney,225,True,1,Share House,4,1,4,30-07-2022
P1215923,/share-house-sydney-redfern-2016-P1215923,Redfern,Sydney,300,False,1,Flatshare,2,2,2,30-07-2022
P1212993,/share-house-sydney-lane-cove-north-2066-P1212993,Lane Cove North,Sydney,330,False,1,Flatshare,2,2,2,30-07-2022
P1219800,/share-house-sydney-liverpool-2170-P1219800,Liverpool,Sydney,200,False,1,Flatshare,2,2,3,30-07-2022
P654990,/share-house-sydney-potts-point-2011-P654990,Potts Point,Sydney,320,False,1,Flatshare,3,1,3,30-07-2022
