flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1326621,/share-house-sydney-matraville-2036-P1326621,Matraville,Sydney,330,True,1,Share House,4,3,3,18-03-2023
P1088022,/share-house-sydney-zetland-2017-P1088022,Zetland,Sydney,500,True,1,Flatshare,2,2,1,18-03-2023
P607921,/share-house-sydney-ashfield-2131-P607921,Ashfield,Sydney,300,True,1,Share House,2,1,2,18-03-2023
P1326603,/share-house-sydney-kogarah-2217-P1326603,Kogarah,Sydney,400,False,1,Flatshare,2,2,1,18-03-2023
P545980,/share-house-sydney-homebush-west-2140-P545980,Homebush West,Sydney,360,True,1,Flatshare,5,4,5,18-03-2023
P1270379,/share-house-sydney-newtown-2042-P1270379,Newtown,Sydney,350,True,1,Share House,6,2,6,18-03-2023
P1016131,/share-house-sydney-glebe-2037-P1016131,Glebe,Sydney,600,True,1,Flatshare,6,4,7,18-03-2023
P1123626,/share-house-sydney-surry-hills-2010-P1123626,Surry Hills,Sydney,450,True,1,Flatshare,6,2,7,18-03-2023
P794435,/share-house-sydney-chatswood-2067-P794435,Chatswood,Sydney,500,True,1,Share House,6,3,7,18-03-2023
P1278648,/share-house-sydney-forest-lodge-2037-P1278648,Forest Lodge,Sydney,500,True,2,Flatshare,6,4,7,18-03-2023
P1125511,/share-house-sydney-haymarket-2000-P1125511,Haymarket,Sydney,600,True,1,Flatshare,6,4,7,18-03-2023
P866731,/student-accommodation-sydney-mcmahons-point-2060-P866731,McMahons Point,Sydney,500,True,1,Student Accommodation,6,4,7,18-03-2023
P1169727,/share-house-sydney-forest-lodge-2037-P1169727,Forest Lodge,Sydney,300,True,1,Share House,6,4,7,18-03-2023
P1326648,/whole-property-sydney-maroubra-2035-P1326648,Maroubra,Sydney,950,True,2,Whole Property for rent,2,2,0,18-03-2023
P1162103,/share-house-sydney-baulkham-hills-2153-P1162103,Baulkham Hills,Sydney,240,True,1,Flatshare,3,2,3,18-03-2023
P1326169,/share-house-sydney-chippendale-2008-P1326169,Chippendale,Sydney,455,True,4,Share House,4,4,4,18-03-2023
P1325866,/share-house-sydney-sydney-olympic-park-2127-P1325866,Sydney Olympic Park,Sydney,420,True,1,Flatshare,2,2,1,18-03-2023
P1323779,/share-house-sydney-mount-druitt-2770-P1323779,Mount Druitt,Sydney,200,False,1,Flatshare,2,1,1,18-03-2023
P1318671,/share-house-sydney-the-ponds-2769-P1318671,The Ponds,Sydney,325,True,2,Share House,5,3,3,18-03-2023
P1321054,/share-house-sydney-woollahra-2025-P1321054,Woollahra,Sydney,500,True,1,Flatshare,2,2,1,18-03-2023
P330140,/share-house-sydney-malabar-2036-P330140,Malabar,Sydney,325,False,1,Share House,3,2,2,18-03-2023
P1325671,/share-house-sydney-millers-point-2000-P1325671,Millers Point,Sydney,600,True,1,Flatshare,2,2,1,18-03-2023
P1088803,/share-house-sydney-ultimo-2007-P1088803,Ultimo,Sydney,467,True,3,Flatshare,4,3,5,18-03-2023
P1318201,/share-house-sydney-hornsby-2077-P1318201,Hornsby,Sydney,150,True,1,Share House,4,1,1,18-03-2023
P1326606,/share-house-sydney-cronulla-2230-P1326606,Cronulla,Sydney,250,False,1,Flatshare,2,1,1,18-03-2023
P1323181,/share-house-sydney-bondi-2026-P1323181,Bondi,Sydney,650,False,1,Flatshare,2,2,1,18-03-2023
P1326610,/share-house-sydney-liverpool-2170-P1326610,Liverpool,Sydney,200,False,1,Share House,3,1,3,18-03-2023
P1314707,/share-house-sydney-collaroy-2097-P1314707,Collaroy,Sydney,395,True,1,Flatshare,2,2,1,18-03-2023
P1321648,/share-house-sydney-neutral-bay-2089-P1321648,Neutral Bay,Sydney,350,False,1,Flatshare,2,1,1,18-03-2023
P1326588,/share-house-sydney-kingsgrove-2208-P1326588,Kingsgrove,Sydney,350,True,2,Flatshare,2,1,4,18-03-2023
P1325161,/share-house-sydney-cronulla-2230-P1325161,Cronulla,Sydney,320,False,1,Flatshare,2,1,2,18-03-2023
