flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1269393,/share-house-sydney-strathfield-2135-P1269393,Strathfield,Sydney,297,True,2,Share House,6,3,7,26-11-2022
P1261400,/share-house-sydney-mosman-2088-P1261400,Mosman,Sydney,350,True,1,Share House,6,3,7,26-11-2022
P1269389,/share-house-sydney-waterloo-2017-P1269389,Waterloo,Sydney,420,True,1,Flatshare,3,2,2,26-11-2022
P1259902,/share-house-sydney-south-coogee-2034-P1259902,South Coogee,Sydney,500,False,1,Share House,4,1,1,26-11-2022
P1085148,/share-house-sydney-mount-druitt-2770-P1085148,Mount Druitt,Sydney,225,True,1,Flatshare,2,2,1,26-11-2022
P1224993,/share-house-sydney-miranda-2228-P1224993,Miranda,Sydney,310,True,1,Share House,6,4,6,26-11-2022
P1269397,/granny-flat-sydney-stanmore-2048-P1269397,Stanmore,Sydney,500,True,1,Granny Flat for rent,1,1,0,26-11-2022
P958552,/share-house-sydney-kingsford-2032-P958552,Kingsford,Sydney,290,True,1,Flatshare,3,1,2,26-11-2022
P797980,/share-house-sydney-marsfield-2122-P797980,Marsfield,Sydney,360,True,1,Share House,3,2,4,26-11-2022
P869955,/share-house-sydney-leichhardt-2040-P869955,Leichhardt,Sydney,405,False,1,Share House,3,1,1,26-11-2022
P1212663,/share-house-sydney-greenwich-2065-P1212663,Greenwich,Sydney,275,True,1,Share House,4,2,4,26-11-2022
P1267854,/share-house-sydney-lalor-park-2147-P1267854,Lalor Park,Sydney,275,False,1,Share House,2,2,2,26-11-2022
P1009902,/share-house-sydney-miranda-2228-P1009902,Miranda,Sydney,280,True,1,Share House,3,1,3,26-11-2022
P1124660,/share-house-sydney-bardwell-park-2207-P1124660,Bardwell Park,Sydney,240,True,1,Share House,3,1,2,26-11-2022
P917993,/share-house-sydney-2000-P917993,Sydney,Sydney,550,False,1,Flatshare,2,2,3,26-11-2022
P1263079,/share-house-sydney-randwick-2031-P1263079,Randwick,Sydney,350,True,1,Flatshare,2,1,1,26-11-2022
P1161514,/share-house-sydney-bondi-2026-P1161514,Bondi,Sydney,450,False,1,Share House,3,2,3,26-11-2022
P437920,/studio-sydney-marsfield-2122-P437920,Marsfield,Sydney,500,True,1,Studio for rent,1,1,0,26-11-2022
P1238208,/share-house-sydney-woolloomooloo-2011-P1238208,Woolloomooloo,Sydney,500,True,1,Flatshare,2,1,2,26-11-2022
P1002227,/share-house-sydney-macquarie-park-2113-P1002227,Macquarie Park,Sydney,200,False,1,Flatshare,2,1,1,26-11-2022
P973913,/share-house-sydney-burwood-2134-P973913,Burwood,Sydney,250,True,2,Share House,6,2,7,26-11-2022
P1195559,/share-house-sydney-birrong-2143-P1195559,Birrong,Sydney,280,True,1,Share House,6,4,6,26-11-2022
P1227306,/share-house-sydney-ultimo-2007-P1227306,Ultimo,Sydney,400,True,1,Share House,3,2,4,26-11-2022
P1269327,/share-house-sydney-waterloo-2017-P1269327,Waterloo,Sydney,440,True,1,Flatshare,3,2,3,26-11-2022
P1019494,/share-house-sydney-bondi-2026-P1019494,Bondi,Sydney,410,False,1,Flatshare,3,2,2,26-11-2022
P1267817,/share-house-sydney-surry-hills-2010-P1267817,Surry Hills,Sydney,290,False,1,Share House,3,1,3,26-11-2022
P1212978,/homestay-sydney-parramatta-2150-P1212978,Parramatta,Sydney,425,False,1,Homestay,3,2,2,26-11-2022
P1269353,/share-house-sydney-st-peters-2044-P1269353,St Peters,Sydney,222,False,2,Share House,4,2,4,26-11-2022
P1269355,/share-house-sydney-cammeray-2062-P1269355,Cammeray,Sydney,300,False,1,Flatshare,2,1,2,26-11-2022
P1269359,/share-house-sydney-bondi-beach-2026-P1269359,Bondi Beach,Sydney,370,False,1,Share House,4,1,3,26-11-2022
P1269357,/share-house-sydney-bondi-beach-2026-P1269357,Bondi Beach,Sydney,370,False,1,Flatshare,2,1,2,26-11-2022
P1203845,/share-house-sydney-camperdown-2050-P1203845,Camperdown,Sydney,300,True,1,Share House,5,4,4,26-11-2022
P1123285,/share-house-sydney-north-parramatta-2151-P1123285,North Parramatta,Sydney,280,True,1,Flatshare,3,2,2,26-11-2022
P1269348,/student-accommodation-sydney-north-narrabeen-2101-P1269348,North Narrabeen,Sydney,360,True,2,Student Accommodation,4,2,4,26-11-2022
P1269349,/whole-property-sydney-mascot-2020-P1269349,Mascot,Sydney,900,False,2,Whole Property for rent,2,2,0,26-11-2022
P1267354,/share-house-sydney-chester-hill-2162-P1267354,Chester Hill,Sydney,300,True,1,Share House,3,2,3,26-11-2022
P1255399,/share-house-sydney-woolooware-2230-P1255399,Woolooware,Sydney,230,False,1,Flatshare,2,1,1,26-11-2022
P1269346,/whole-property-sydney-mascot-2020-P1269346,Mascot,Sydney,900,False,2,Whole Property for rent,2,2,0,26-11-2022
P1247732,/studio-sydney-homebush-2140-P1247732,Homebush,Sydney,350,True,1,Studio for rent,1,1,0,26-11-2022
P1247979,/share-house-sydney-drummoyne-2047-P1247979,Drummoyne,Sydney,400,True,1,Flatshare,2,1,2,26-11-2022
P1269224,/1-bed-sydney-mascot-2020-P1269224,Mascot,Sydney,700,False,1,Bed for rent,1,1,0,26-11-2022
P1268728,/share-house-sydney-darlington-2008-P1268728,Darlington,Sydney,350,False,1,Share House,3,2,4,26-11-2022
P1267566,/share-house-sydney-leichhardt-2040-P1267566,Leichhardt,Sydney,275,True,1,Share House,5,2,4,26-11-2022
