flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P452955,/share-house-sydney-maroubra-2035-P452955,Maroubra,Sydney,250,True,1,Share House,4,2,4,01-10-2022
P1243596,/share-house-sydney-parramatta-2150-P1243596,Parramatta,Sydney,350,True,1,Flatshare,2,2,2,01-10-2022
P794435,/share-house-sydney-chatswood-2067-P794435,Chatswood,Sydney,450,True,1,Share House,6,3,7,01-10-2022
P929206,/share-house-sydney-chatswood-2067-P929206,Chatswood,Sydney,412,True,2,Share House,5,2,5,01-10-2022
P1242934,/share-house-sydney-redfern-2016-P1242934,Redfern,Sydney,430,True,3,Flatshare,3,2,3,01-10-2022
P1245198,/share-house-sydney-wollstonecraft-2065-P1245198,Wollstonecraft,Sydney,450,True,1,Flatshare,2,1,1,01-10-2022
P908248,/share-house-sydney-berala-2141-P908248,Berala,Sydney,180,True,1,Share House,6,4,5,01-10-2022
P1243310,/share-house-sydney-2000-P1243310,Sydney,Sydney,650,True,1,Flatshare,2,2,4,01-10-2022
P1000148,/share-house-sydney-frenchs-forest-2086-P1000148,Frenchs Forest,Sydney,310,True,1,Share House,6,4,7,01-10-2022
P1071264,/share-house-sydney-newington-2127-P1071264,Newington,Sydney,290,True,1,Flatshare,2,2,2,01-10-2022
P1138994,/share-house-sydney-northmead-2152-P1138994,Northmead,Sydney,240,True,1,Flatshare,2,2,2,01-10-2022
P1245130,/whole-property-sydney-zetland-2017-P1245130,Zetland,Sydney,950,False,2,Whole Property for rent,2,2,0,01-10-2022
P1245125,/share-house-sydney-pyrmont-2009-P1245125,Pyrmont,Sydney,275,True,6,Share House,6,2,6,01-10-2022
P1245190,/share-house-sydney-silverwater-2128-P1245190,Silverwater,Sydney,50,False,1,Flatshare,2,1,1,01-10-2022
P1245166,/share-house-sydney-merrylands-2160-P1245166,Merrylands,Sydney,190,False,1,Flatshare,2,2,2,01-10-2022
P1095665,/share-house-sydney-darlinghurst-2010-P1095665,Darlinghurst,Sydney,295,True,1,Flatshare,4,2,5,01-10-2022
P1073597,/share-house-sydney-winston-hills-2153-P1073597,Winston Hills,Sydney,200,False,1,Share House,4,2,3,01-10-2022
P753828,/share-house-sydney-lidcombe-2141-P753828,Lidcombe,Sydney,202,True,2,Share House,4,2,4,01-10-2022
P1206128,/share-house-sydney-darlinghurst-2010-P1206128,Darlinghurst,Sydney,250,True,1,Flatshare,2,1,1,01-10-2022
P1055657,/share-house-sydney-asquith-2077-P1055657,Asquith,Sydney,240,True,1,Flatshare,2,2,2,01-10-2022
P1245108,/share-house-sydney-padstow-2211-P1245108,Padstow,Sydney,265,False,1,Share House,3,1,1,01-10-2022
P1089187,/share-house-sydney-the-ponds-2769-P1089187,The Ponds,Sydney,250,True,1,Share House,2,2,2,01-10-2022
P1238411,/share-house-sydney-epping-2121-P1238411,Epping,Sydney,235,False,1,Flatshare,2,1,2,01-10-2022
P1093809,/share-house-sydney-bondi-beach-2026-P1093809,Bondi Beach,Sydney,295,False,1,Share House,3,1,2,01-10-2022
P1151537,/share-house-sydney-ryde-2112-P1151537,Ryde,Sydney,330,False,1,Flatshare,2,2,2,01-10-2022
P764004,/share-house-sydney-rockdale-2216-P764004,Rockdale,Sydney,300,True,1,Flatshare,2,2,3,01-10-2022
P900092,/share-house-sydney-roselands-2196-P900092,Roselands,Sydney,200,False,1,Flatshare,2,1,2,01-10-2022
P800941,/share-house-sydney-ermington-2115-P800941,Ermington,Sydney,210,True,1,Share House,4,2,4,01-10-2022
P1245128,/share-house-sydney-waterloo-2017-P1245128,Waterloo,Sydney,345,False,1,Flatshare,2,2,2,01-10-2022
P1243228,/share-house-sydney-liverpool-2170-P1243228,Liverpool,Sydney,190,True,1,Flatshare,2,1,1,01-10-2022
P912842,/share-house-sydney-bondi-junction-2022-P912842,Bondi Junction,Sydney,400,True,2,Flatshare,3,2,3,01-10-2022
P1245025,/whole-property-sydney-randwick-2031-P1245025,Randwick,Sydney,750,False,2,Whole Property for rent,2,1,0,01-10-2022
P1017621,/share-house-sydney-strathfield-2135-P1017621,Strathfield,Sydney,210,True,1,Share House,6,2,6,01-10-2022
P1245123,/share-house-sydney-spring-farm-2570-P1245123,Spring Farm,Sydney,200,True,1,Share House,4,3,3,01-10-2022
P1243283,/share-house-sydney-newport-2106-P1243283,Newport,Sydney,350,True,1,Share House,4,2,1,01-10-2022
P1245111,/share-house-sydney-coogee-2034-P1245111,Coogee,Sydney,350,False,1,Flatshare,2,1,2,01-10-2022
P857477,/share-house-sydney-chippendale-2008-P857477,Chippendale,Sydney,325,True,1,Share House,5,2,5,01-10-2022
P1000942,/share-house-sydney-darlinghurst-2010-P1000942,Darlinghurst,Sydney,355,True,4,Share House,6,3,7,01-10-2022
P1077199,/studio-sydney-paddington-2021-P1077199,Paddington,Sydney,415,True,1,Studio for rent,1,1,0,01-10-2022
P1038252,/share-house-sydney-surry-hills-2010-P1038252,Surry Hills,Sydney,365,True,3,Share House,4,2,4,01-10-2022
P1009962,/share-house-sydney-surry-hills-2010-P1009962,Surry Hills,Sydney,482,True,3,Flatshare,2,1,1,01-10-2022
P1132388,/share-house-sydney-chippendale-2008-P1132388,Chippendale,Sydney,432,True,4,Share House,6,4,7,01-10-2022
P1066924,/studio-sydney-surry-hills-2010-P1066924,Surry Hills,Sydney,450,True,1,Studio for rent,1,1,0,01-10-2022
P1138771,/studio-sydney-enmore-2042-P1138771,Enmore,Sydney,370,True,1,Studio for rent,1,1,0,01-10-2022
P1245109,/share-house-sydney-rhodes-2138-P1245109,Rhodes,Sydney,340,True,1,Flatshare,2,2,3,01-10-2022
P1244911,/share-house-sydney-darlinghurst-2010-P1244911,Darlinghurst,Sydney,580,False,1,Flatshare,2,2,1,01-10-2022
P1198330,/share-house-sydney-collaroy-2097-P1198330,Collaroy,Sydney,280,True,1,Share House,6,4,7,01-10-2022
P1244659,/share-house-sydney-appin-2560-P1244659,Appin,Sydney,300,False,1,Share House,4,2,1,01-10-2022
P1244565,/share-house-sydney-paddington-2021-P1244565,Paddington,Sydney,250,True,1,Share House,4,2,4,01-10-2022
P1122046,/share-house-sydney-cabramatta-west-2166-P1122046,Cabramatta West,Sydney,230,True,3,Share House,3,2,3,01-10-2022
P1244757,/whole-property-sydney-2000-P1244757,Sydney,Sydney,340,False,2,Whole Property for rent,2,2,0,01-10-2022
P1245093,/share-house-sydney-waitara-2077-P1245093,Waitara,Sydney,350,False,1,Flatshare,2,2,1,01-10-2022
P331033,/share-house-sydney-maroubra-2035-P331033,Maroubra,Sydney,295,True,1,Share House,4,3,4,01-10-2022
P880556,/share-house-sydney-roselands-2196-P880556,Roselands,Sydney,200,False,1,Flatshare,2,1,1,01-10-2022
P397408,/share-house-sydney-auburn-2144-P397408,Auburn,Sydney,290,True,1,Flatshare,2,2,2,01-10-2022
P1219633,/share-house-sydney-ashfield-2131-P1219633,Ashfield,Sydney,250,True,1,Share House,4,3,4,01-10-2022
P1063218,/share-house-sydney-coogee-2034-P1063218,Coogee,Sydney,370,False,1,Flatshare,2,1,2,01-10-2022
P1245081,/share-house-sydney-belmore-2192-P1245081,Belmore,Sydney,250,True,1,Share House,4,1,1,01-10-2022
P380372,/share-house-sydney-glebe-2037-P380372,Glebe,Sydney,340,False,2,Share House,3,2,3,01-10-2022
P1219247,/share-house-sydney-marsfield-2122-P1219247,Marsfield,Sydney,240,True,1,Share House,2,1,1,01-10-2022
P1193659,/share-house-sydney-rhodes-2138-P1193659,Rhodes,Sydney,280,True,1,Share House,6,2,3,01-10-2022
P1245067,/share-house-sydney-waverley-2024-P1245067,Waverley,Sydney,400,True,1,Flatshare,2,1,1,01-10-2022
P1201233,/share-house-sydney-parramatta-2150-P1201233,Parramatta,Sydney,420,True,1,Flatshare,2,2,2,01-10-2022
P1199453,/share-house-sydney-cronulla-2230-P1199453,Cronulla,Sydney,350,False,1,Flatshare,2,2,1,01-10-2022
P1225584,/share-house-sydney-2000-P1225584,Sydney,Sydney,410,True,1,Flatshare,3,2,3,01-10-2022
P945751,/share-house-sydney-blacktown-2148-P945751,Blacktown,Sydney,190,True,1,Share House,5,3,3,01-10-2022
P1234707,/share-house-sydney-rozelle-2039-P1234707,Rozelle,Sydney,310,True,1,Share House,4,1,2,01-10-2022
P1245050,/share-house-sydney-kensington-2033-P1245050,Kensington,Sydney,296,False,1,Share House,3,3,2,01-10-2022
P228234,/share-house-sydney-bondi-junction-2022-P228234,Bondi Junction,Sydney,400,True,1,Flatshare,3,2,2,01-10-2022
P1245047,/share-house-sydney-maroubra-2035-P1245047,Maroubra,Sydney,400,False,1,Share House,4,3,2,01-10-2022
P1244875,/studio-sydney-paddington-2021-P1244875,Paddington,Sydney,270,False,1,Studio for rent,1,1,0,01-10-2022
P1042146,/share-house-sydney-mascot-2020-P1042146,Mascot,Sydney,430,True,2,Flatshare,3,2,4,01-10-2022
P1194877,/student-accommodation-sydney-bondi-2026-P1194877,Bondi,Sydney,375,True,2,Student Accommodation,5,4,6,01-10-2022
P1245039,/share-house-sydney-cronulla-2230-P1245039,Cronulla,Sydney,250,False,1,Flatshare,3,1,3,01-10-2022
P1242852,/share-house-sydney-tregear-2770-P1242852,Tregear,Sydney,190,True,2,Share House,2,1,2,01-10-2022
P1243842,/share-house-sydney-cronulla-2230-P1243842,Cronulla,Sydney,320,True,1,Flatshare,2,1,2,01-10-2022
