flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P145896,/share-house-sydney-woolloomooloo-2011-P145896,Woolloomooloo,Sydney,320,True,1,Share House,5,2,2,18-06-2022
P1203204,/share-house-sydney-kogarah-2217-P1203204,Kogarah,Sydney,230,True,1,Flatshare,2,1,2,18-06-2022
P1203190,/student-accommodation-sydney-kingsford-2032-P1203190,Kingsford,Sydney,300,True,2,Student Accommodation,3,2,2,18-06-2022
P1202935,/student-accommodation-sydney-camperdown-2050-P1202935,Camperdown,Sydney,360,True,1,Student Accommodation,1,1,1,18-06-2022
P1114724,/share-house-sydney-kingsford-2032-P1114724,Kingsford,Sydney,300,False,1,Share House,3,2,3,18-06-2022
P1203185,/share-house-sydney-riverwood-2210-P1203185,Riverwood,Sydney,250,True,1,Flatshare,3,2,2,18-06-2022
P1144800,/whole-property-sydney-ryde-2112-P1144800,Ryde,Sydney,250,False,3,Whole Property for rent,3,1,0,18-06-2022
P1144802,/whole-property-sydney-ryde-2112-P1144802,Ryde,Sydney,250,False,3,Whole Property for rent,3,2,0,18-06-2022
P997585,/share-house-sydney-coogee-2034-P997585,Coogee,Sydney,350,False,1,Flatshare,2,1,2,18-06-2022
P1196663,/share-house-sydney-glebe-2037-P1196663,Glebe,Sydney,260,True,1,Share House,6,3,6,18-06-2022
P243014,/studio-sydney-lane-cove-north-2066-P243014,Lane Cove North,Sydney,400,True,1,Studio for rent,1,1,0,18-06-2022
P1156559,/share-house-sydney-blacktown-2148-P1156559,Blacktown,Sydney,200,True,1,Share House,3,2,1,18-06-2022
P421304,/share-house-sydney-zetland-2017-P421304,Zetland,Sydney,370,True,1,Flatshare,2,2,1,18-06-2022
P1158365,/share-house-sydney-heathcote-2233-P1158365,Heathcote,Sydney,330,True,1,Flatshare,2,2,3,18-06-2022
P1048026,/studio-sydney-marsfield-2122-P1048026,Marsfield,Sydney,440,True,1,Studio for rent,1,1,0,18-06-2022
P873162,/granny-flat-sydney-zetland-2017-P873162,Zetland,Sydney,400,True,1,Granny Flat for rent,1,1,0,18-06-2022
P478035,/share-house-sydney-rockdale-2216-P478035,Rockdale,Sydney,290,True,1,Flatshare,2,2,1,18-06-2022
P772544,/share-house-sydney-neutral-bay-2089-P772544,Neutral Bay,Sydney,290,False,1,Flatshare,3,3,3,18-06-2022
P1151808,/share-house-sydney-st-peters-2044-P1151808,St Peters,Sydney,290,False,1,Flatshare,3,3,3,18-06-2022
P1203157,/share-house-sydney-mascot-2020-P1203157,Mascot,Sydney,375,True,1,Flatshare,2,2,2,18-06-2022
P1052521,/share-house-sydney-marrickville-2204-P1052521,Marrickville,Sydney,290,True,1,Share House,5,2,4,18-06-2022
